Group No,Group Name,CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,Tone,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
13,Local Repeaters,0,WC8OH,OFF,145.11,DUP-,0.6,FM,OFF,1,TSQL,88.5,67,,,,,,,,OFF
13,Local Repeaters,0,K8MCA,OFF,146.64,DUP-,0.6,FM,OFF,1,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8DYY,OFF,147.195,DUP+,0.6,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,Sycamore hospital,OFF,145.33,DUP-,0.6,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8VSU,OFF,442.3,DUP+,5,FM,OFF,1,TSQL,88.5,123,,,,,,,,OFF
13,Local Repeaters,0,W8BI Clubhouse,OFF,145.27,DUP-,0.6,DV,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8BI Clubhouse,OFF,444.0875,DUP+,5,DV,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,TV CH 16 Tower,OFF,147.105,DUP+,0.6,DV,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,TV CH 16 Tower,OFF,443.05,DUP+,5,DV,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8RTL,OFF,1283.5,DUP-,20,DV,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8DYY,OFF,443,DUP+,5,FM,OFF,1,Tone,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8AK,OFF,442.875,DUP+,5,DMR,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8SCT,OFF,147.135,DUP+,0.6,DMR,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WG8ARS,OFF,443.1875,DUP+,5,FM,OFF,1,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8BI Club Station,OFF,443.2625,DUP+,5,DMR,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,KB8CSL,OFF,224.72,DUP-,1.6,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8COH,OFF,443.225,DUP+,5,DN,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,Miami Valley Hospital,OFF,444.2125,DUP+,5,FM,OFF,1,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,N8NQH,OFF,444.4375,DUP+,5,DMR,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,KE8SO,OFF,442.0375,DUP+,5,FM,OFF,1,TSQL,88.5,123,,,,,,,,OFF
13,Local Repeaters,0,W8ESS,OFF,442.275,DUP+,5,FM,OFF,1,Tone,110.9,88.5,,,,,,,,OFF
13,Local Repeaters,0,WE8N,OFF,442.425,DUP+,5,FM,OFF,1,Tone,77,88.5,,,,,,,,OFF
13,Local Repeaters,0,K8DZ,OFF,223.82,DUP-,1.6,FM,OFF,1,Tone,77,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8CYE,OFF,145.49,DUP-,0.6,FM,OFF,1,TSQL,88.5,77,,,,,,,,OFF
13,Local Repeaters,0,W8BRQ,OFF,145.13,DUP-,0.6,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,N8RXL,OFF,224.22,DUP-,1.6,FM,OFF,1,Tone,100,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8GNT,OFF,444.95,DUP+,5,FM,OFF,1,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8BFS,OFF,443.8,DUP+,5,FM,OFF,1,Tone,67,88.5,,,,,,,,OFF
13,Local Repeaters,0,KC8QGP,OFF,444.6,DUP+,5,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8WFG,OFF,444.15,DUP+,5,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8ZVL,OFF,145.29,DUP-,0.6,FM,OFF,1,Tone,118.8,88.5,,,,,,,,OFF
13,Local Repeaters,0,WB8ZVL,OFF,443.15,DUP+,5,FM,OFF,1,Tone,118.8,88.5,,,,,,,,OFF
13,Local Repeaters,0,WC8EMA,OFF,444.1875,DUP+,5,FM,OFF,1,TSQL,88.5,118.8,,,,,,,,OFF
13,Local Repeaters,0,WC8EMA,OFF,146.865,DUP-,0.6,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,KE8AOQ,OFF,443.15,DUP+,5,DV,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8CYE,OFF,147.135,DUP+,0.6,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
